Cod_filial,FILIAL,CODPROD,DATA,DESCRICAO,EMBALAGEM,QTESTGER
1,ATACADO,168,06/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,07/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,08/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1120
1,ATACADO,168,09/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,690
1,ATACADO,168,10/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,68
1,ATACADO,168,11/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,20
1,ATACADO,168,12/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,20
1,ATACADO,168,13/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,14/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,15/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,169,16/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,17/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,18/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,19/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,20/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,21/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,22/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,23/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,24/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,25/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,26/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,27/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
1,ATACADO,169,28/11/2020 00:00,BEB LACTEA NESTLE MORANGO 10X900G,10X900G,0
