DESCRICAO;Cod_filial;FILIAL;CODPROD;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;CUSTOULTENT;QTRESERV;QTPENDENTE;Estoque_d
NINHO PETIT MRG E LEITE 16X320G;1;ATACADO;1507;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;320G;0;0;3,419259;0;0;0
NESTLE GREGO IOG LT MORANGO 12X360G;1;ATACADO;1508;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;156;6;4,484923;0;0;156
NESTLE IOGURTE MORANGO 12X1,250G;1;ATACADO;1510;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;1,250G;0;0;7,198728;0;0;0
NESTLE IOGURTE VIT DE FRUTA 12X1,250G;1;ATACADO;1512;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;1,250G;4;4;7,197269;0;0;4
CHAMYTO IOGURTE MORANGO 12X360G;1;ATACADO;1513;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;0;0;2,050649;0;0;0
CHAMYTO IOGURTE LIQ MORANGO 12X850G;1;ATACADO;1514;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;0;0;4,93598;0;0;0
CHAMYTO GO IOG LIQ MORANGO 24X100G;1;ATACADO;1521;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100G;0;0;1,468544;0;0;0
NESTLE GREGO FRUTAS VERMELHAS 48X90G;1;ATACADO;1522;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;1,166857;0;0;0
NESTLE GREGO LIGHT BAUNILHA 12X360G;1;ATACADO;248;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;0;0;4,128691;0;0;0
MOLICO LEITE FERM LIQ MRG 12X850G;1;ATACADO;202;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;0;0;6,411934;0;0;0
CHAMYTO IOGURTE LIQ MRG 24X170G;1;ATACADO;1515;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;0;0;1,502881;0;0;0
CHAMYTO GO IOG LIQ VITAMINA 24X100G;1;ATACADO;1520;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100G;0;0;1,468263;0;0;0
NESTLE GREGO MORANGO 24X90G;1;ATACADO;1652;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;1,167216;0;0;0
NESTLE GREGO FLOCOS 24X90G;1;ATACADO;1653;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;1,167192;0;0;0
NESTLE FLAN CARAMELO 8X400G;1;ATACADO;1668;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;400G;0;0;3,5935;0;0;0
NESTLE GREGO TORTA MORANGO 24X90G;1;ATACADO;1958;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;283;0;1,366178;10;0;273
NESTLE GREGO IOG FLOCOS 12X400G;1;ATACADO;1699;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;400G;0;0;4,053831;0;0;0
NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;1;ATACADO;2127;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;150G;2;2;2,572483;0;0;2
NESTLE IOGURTE PEDACOS MORANGO 28X100G;1;ATACADO;1796;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100G;0;0;1,230028;0;0;0
CHANDELLE CHOCOLATE BRANCO 18X360G;1;ATACADO;1887;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;215;0;4,19907;1;0;214
NESTLE FLAN MORANGO 20X200G;1;ATACADO;2332;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;200G;0;0;1,927731;0;0;0
REQUEIJAO CREMOSO NESTLE 15X200G;1;ATACADO;213;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PT 200G;1101;0;4,06464;83;0;1018
NESFIT IOGURTE MORANGO BAUN 24X170G;1;ATACADO;2042;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;146;36;1,932241;9;0;137
NINHO IOGURTE POLPA 6X720G;1;ATACADO;2373;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;720G;69;0;5,453087;0;0;69
NINHO IOGURTE LIQ MACA E BANANA 24X100G;1;ATACADO;1693;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100H;156;156;1,645906;0;0;156
NESFIT IOGURTE MORANGO BAUN 20X150G;1;ATACADO;2104;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;150G;0;0;2,573377;0;0;0
CHANDELLE CHOCOLATE 6X720G;1;ATACADO;1697;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;720G;119;0;6,383151;1;0;118
CHAMYTO LEITE FERM 21X6X120G;1;ATACADO;1698;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;120G;198;0;5,26133;2;0;196
NESTLE IOGURTE POLPA MORANGO 6X540G;1;ATACADO;1735;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;18453;3;2,869712;447;23;17983
NESTLE IOGURTE POLPA VITAMINA 6X540G;1;ATACADO;1736;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;1987;2;2,86971;28;0;1959
IOGURTE GREGO NESTLE TRADICIONAL 12X400G;1;ATACADO;195;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X400G;101;12;4,484923;0;0;101
MOLICO IOGURTE LIQ BAUN 24X170G;1;ATACADO;2455;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;575;0;1,72472;5;0;570
CHAMYTO IOGURTE LIQ PROTEINA 12X850G;1;ATACADO;1885;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;0;0;6,968983;0;0;0
CHAMYTO IOGURTE LIQ PROTEINA 24X170G;1;ATACADO;1886;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;0;0;1,876619;0;0;0
NESTLE IOG VIT DE FRUTA 24X170G;1;ATACADO;1505;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;1792;0;1,335014;70;0;1722
