Filial;CODPROD;DESCRICAO;DTMOV;QT
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;29/03/2021;5
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;29/03/2021;1
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;29/03/2021;7
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;29/03/2021;15
1;2373;NINHO IOGURTE POLPA 6X720G;29/03/2021;1
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;29/03/2021;8
1;183;CHAMBINHO PETIT MOR 16X320G;29/03/2021;15
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;29/03/2021;8
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;29/03/2021;1
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;29/03/2021;1
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;29/03/2021;7
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;29/03/2021;4
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;70
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;29/03/2021;6
1;450;CHANDELLE CHOCOLATE 24X180G;29/03/2021;1
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;15
1;453;CHANDELLE CHOCOLATE 18X360G;29/03/2021;13
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;29/03/2021;4
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;29/03/2021;3
1;1509;NESTLE IOGURTE MORANGO 24X170G;29/03/2021;8
1;1511;NESTLE IOGURTE MORANGO 12X900G;29/03/2021;6
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;29/03/2021;9
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;29/03/2021;13
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;404
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;29/03/2021;1854
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;29/03/2021;1
1;180;NINHO IOGURTE POLPA 6X540G;29/03/2021;5
1;183;CHAMBINHO PETIT MOR 16X320G;29/03/2021;3
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;29/03/2021;2
1;254;NINHO FRUTI MORANGO 8X250G;29/03/2021;3
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;2
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;4
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;29/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;29/03/2021;57
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;29/03/2021;1
1;2373;NINHO IOGURTE POLPA 6X720G;29/03/2021;2
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;29/03/2021;9
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;29/03/2021;3
1;183;CHAMBINHO PETIT MOR 16X320G;29/03/2021;6
1;204;NESTLE FLAN CARAMELO 20X200G;29/03/2021;1
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;29/03/2021;2
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;2
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;29/03/2021;1
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;29/03/2021;1
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;29/03/2021;8
1;1941;NESTLE GREGO TRADICIONAL 24X90G;29/03/2021;10
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;29/03/2021;1
1;182;CHAMBINHO PETIT MRG 12X480G;29/03/2021;11
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;29/03/2021;3
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;29/03/2021;2
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;29/03/2021;2
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;29/03/2021;14
1;288;NINHO IOGURTE MORANGO 24X170G;29/03/2021;10
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;29/03/2021;42
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;29/03/2021;6
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;2
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;29/03/2021;1
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;29/03/2021;6
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;29/03/2021;2
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;29/03/2021;2
1;1518;NESTLE BEB LACTEA POLPA 2 SABORES 6X540G;29/03/2021;25
